Exercise_Name,URL,Thumbnail_URL
Diamond Push up,https://www.youtube.com/watch?v=K8bKxVcwjrk,https://i.ytimg.com/vi/K8bKxVcwjrk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNygxm7SkGFue1dbzivhs1Gn9CUA
Wide Grip Push up,https://www.youtube.com/watch?v=UFa702F5WnY,https://i.ytimg.com/vi/UFa702F5WnY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC4AWTAuabO2q8R-QrX5HrgoQyAlw
Spiderman Push Up,https://www.youtube.com/watch?v=O4ykWemt47k,https://i.ytimg.com/vi/O4ykWemt47k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzc_ykX_9L-rAcPkW2uCehAJFl6w
Pike Push up,https://www.youtube.com/watch?v=9NLyrC2joJs,https://i.ytimg.com/vi/9NLyrC2joJs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAwsdu_dwbt7LAW_pXi6TzToF-DOw
n Incline Push Up,https://www.youtube.com/watch?v=yAbg3_pJKvw,https://i.ytimg.com/vi/yAbg3_pJKvw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCu6n44yqbfv_ESQ2JqkrdXzqr_FQ
One Arm Push up,https://www.youtube.com/watch?v=Al8P5s_D4Kc,https://i.ytimg.com/vi/Al8P5s_D4Kc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDi7GPkkAHAdiOXmg7iJDozwKSQEg
n Archer Push up,https://www.youtube.com/watch?v=wJKLatFY-aU,https://i.ytimg.com/vi/wJKLatFY-aU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA61cXzP_egSHl_kdLHYDJ633chqQ
Superman Push up,https://www.youtube.com/watch?v=rwJDRHKnVjk,https://i.ytimg.com/vi/rwJDRHKnVjk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDoTvI2Q0PbuJPHa1tXF11zYYsmtg
Reverse Grip Lat Pulldown,https://www.youtube.com/watch?v=SNiwpA13ZLU,https://i.ytimg.com/vi/SNiwpA13ZLU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBw2UtKA9AnHrQxG1PyITJPlyYMJw
Barbell Bent Over Row,https://www.youtube.com/watch?v=FsK19s8eGFs,https://i.ytimg.com/vi/FsK19s8eGFs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCk4vwIKpqf8ZSqbvDD0G4czQdy5Q
Close Grip Lat Pulldown,https://www.youtube.com/watch?v=IjoFCmLX7z0,https://i.ytimg.com/vi/IjoFCmLX7z0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDq4-mjIoDDNOveQnn4wgL8nhzzuw
Dumbbell Bent Over Row,https://www.youtube.com/watch?v=6gvmcqr226U,https://i.ytimg.com/vi/6gvmcqr226U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDPmeO8qyq1QWFOpmDowIqJnR5K7w
n Incline Dumbbell Row,https://www.youtube.com/watch?v=Nx0TzjgsI-0,https://i.ytimg.com/vi/Nx0TzjgsI-0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAH2DtuWJe5PO7Xsrc5W2J5eyUZoQ
Wide Grip Lat Pulldown,https://www.youtube.com/watch?v=7JnP8dFbS14,https://i.ytimg.com/vi/7JnP8dFbS14/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBkAe_WmwVE9P622lCV_PclaSrrBA
Seated Cable Row,https://www.youtube.com/watch?v=lJoozxC0Rns,https://i.ytimg.com/vi/lJoozxC0Rns/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBC52IMt--XT9kp5l1SuFBBiZdkyA
Barbell Bench Press Correctly,https://www.youtube.com/watch?v=CjHIKDQ4RQo,https://i.ytimg.com/vi/CjHIKDQ4RQo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6xVb5pNPAk837yubZ6z9MjfH0jQ
Close Grip Barbell Bench Press,https://www.youtube.com/watch?v=DzA2xZhDGeo,https://i.ytimg.com/vi/DzA2xZhDGeo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCriG6Wt_gIxlLWl6TJSGOjxW2OYQ
Dumbbell Bench Press,https://www.youtube.com/watch?v=AduT4Eq-iP0,https://i.ytimg.com/vi/AduT4Eq-iP0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB-18VpwZqFGH2DzzobX6VUdQWZaw
Barbell Incline Bench Press,https://www.youtube.com/watch?v=2jFFCy8JBU8,https://i.ytimg.com/vi/2jFFCy8JBU8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDhF7yDXH8HiwrXT4pbn7c7BNAbhA
Dumbbell Incline Press,https://www.youtube.com/watch?v=oZVCBM9f8Eo,https://i.ytimg.com/vi/oZVCBM9f8Eo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAxYGBipCFz8A-UmXvPih7Tqg7C4g
Dumbbell Fly,https://www.youtube.com/watch?v=4nSCZj_Gxxo,https://i.ytimg.com/vi/4nSCZj_Gxxo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQR0fQnhxYyrPLcB2GpA9I3LyM-g
[Private video],https://www.youtube.com/watch?v=g2I14mywcJo,https://i.ytimg.com/img/no_thumbnail.jpg
Low Cable Crossover,https://www.youtube.com/watch?v=wnFEC_34Bls,https://i.ytimg.com/vi/wnFEC_34Bls/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbzKnhIC4xs-Sk41Dv-5RMUi-GwA
Dumbbell Chest Fly,https://www.youtube.com/watch?v=Nhvz9EzdJ4U,https://i.ytimg.com/vi/Nhvz9EzdJ4U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBhOK-WlDdvDG3Aly_e0URPekbtvQ
